"outcome","outcome_label","feature_name","final_standardized_coef","fold0","fold1","fold2","fold3","fold4","sign_agreement_count","stability_class","coefficient_direction","abs_final_coef","locked_test_enrichment_grade","auroc_global_ordering_flag","r1_enrichment_preserved","design_hypothesis_grade","main_figure_display","main_figure_rank","feature_level_locked_validation","causal_interpretation_allowed"
"has_any_outer_imagery_observed","Any outer-package affective imagery","center_edge_energy_fraction","-0.17533328753935107","-0.20453918067211607","-0.1632610959365774","-0.17133437865664078","-0.1854705452552371","-0.15839026578970197","5","directionally_stable","negative","0.17533328753935107","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","character_mascot_score","0.1919389896779317","0.14878190349685902","0.2717760291184917","0.10914546671501632","0.1941394164357255","0.23315392786441283","5","directionally_stable","positive","0.1919389896779317","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","colorfulness_hs","0.01972654096974579","0.09964162523746765","-0.05632123957960557","0.04840952110243571","-0.014876707252336769","0.06230560842400311","3","unstable","positive","0.01972654096974579","E2","below_half","True","D","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","cool_hue_fraction","0.09058436327570776","0.13812889753328378","0.06918941909710524","0.04143820908095199","0.11172741528491725","0.07210942080228368","5","directionally_stable","positive","0.09058436327570776","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","dense_ornament_score","0.7060870491456278","0.5617647785170711","0.7453381657489628","0.536724136690848","0.692821701595068","1.007882024854035","5","directionally_stable","positive","0.7060870491456278","E2","below_half","True","A","True","3","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","edge_density","-0.8339447779748175","-0.6479154566192062","-1.298199933041118","-0.8064732610788262","-0.554400824845793","-0.8243977694991073","5","directionally_stable","negative","0.8339447779748175","E2","below_half","True","A","True","2","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","edge_strength_mean","0.643477059038845","0.5317018357679293","1.0577910240356625","0.6785351164259856","0.3354627442662652","0.563132219702435","5","directionally_stable","positive","0.643477059038845","E2","below_half","True","A","True","4","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","floral_illustration_score","0.32364006531198797","0.3123915993179552","0.2980623629656704","0.382206302893925","0.4281755260046065","0.19641148090846758","5","directionally_stable","positive","0.32364006531198797","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","fruit_motif_score","0.16805956781441497","0.2405381559996599","0.08524499781770925","0.2058636598638239","0.17070912897958565","0.11151914124486736","5","directionally_stable","positive","0.16805956781441497","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","geometric_layout_score","0.4952816412536643","0.38688303652701","0.4040223347772398","0.6604505727016795","0.46150292832803497","0.586695508054676","5","directionally_stable","positive","0.4952816412536643","E2","below_half","True","A","True","6","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","grayscale_entropy","-0.14928370182743658","-0.05930924744332943","-0.19114580832651035","-0.16995808309259053","-0.029529822948990446","-0.2754788859349615","5","directionally_stable","negative","0.14928370182743658","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","heritage_ornament_score","-0.02911962178782896","0.039086842967859026","-0.003759354817204505","-0.012607245266373912","-0.05684689240362638","-0.11859279944119137","4","mostly_stable","negative","0.02911962178782896","E2","below_half","True","B","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","high_saturation_fraction","0.11913630548995463","0.029013601928823952","0.07657216754449386","0.10185191744934946","0.2217668878893888","0.19061676762883248","5","directionally_stable","positive","0.11913630548995463","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","hue_entropy","-0.07695979246759253","-0.06400828109345554","-0.08239779445149632","-0.15511718667945265","-0.06433351791412226","-0.009427191919478434","5","directionally_stable","negative","0.07695979246759253","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","image_dominant_score","0.0987294062213471","0.14408812910691432","-0.08989508568992453","0.05323819396819416","0.20512545831382972","0.24323748069986245","4","mostly_stable","positive","0.0987294062213471","E2","below_half","True","B","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","ingredient_photography_score","-0.2533364788323642","-0.3331015600919442","-0.13383261685242465","-0.2978598392379797","-0.3094465869685232","-0.17984200217343213","5","directionally_stable","negative","0.2533364788323642","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","kraft_craft_score","0.12300488802181185","0.10957899605965754","0.012491307171430018","0.09146218319823189","0.13782872868494886","0.26827068794809483","5","directionally_stable","positive","0.12300488802181185","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","leaf_herb_illustration_score","-0.28905470134588135","-0.21080276407402002","-0.27166009912637434","-0.22099566876443494","-0.3160073647743707","-0.4464231424154217","5","directionally_stable","negative","0.28905470134588135","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","lr_symmetry","-0.017734430779644646","0.04739916569577905","-0.06526362355202747","0.055094498486315556","-0.03340004376517399","-0.060886552697645466","3","unstable","negative","0.017734430779644646","E2","below_half","True","D","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_mean","-0.005937243277415982","0.008795996381049595","-0.12554529261051273","0.27131029374234245","-0.10068202233435752","-0.048346404262941615","3","unstable","negative","0.005937243277415982","E2","below_half","True","D","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_p10","-0.5854838564210413","-0.7339010511838262","-0.5869112659477058","-0.5990744595317873","-0.49180214422526813","-0.44445842587542256","5","directionally_stable","negative","0.5854838564210413","E2","below_half","True","A","True","5","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_p90","0.39715141903714485","0.4072566452705177","0.5434460694108444","0.245381016197847","0.33024912914675963","0.45378171624944225","5","directionally_stable","positive","0.39715141903714485","E2","below_half","True","A","True","7","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","luminance_std","-0.265084594692612","-0.3392060117763914","-0.3685617841344948","-0.028387666915175545","-0.27301635569262894","-0.20249034385990086","5","directionally_stable","negative","0.265084594692612","E2","below_half","True","A","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","near_black_fraction","0.05802183187480717","0.09335844148158431","0.11006202312990383","-0.04527375701947441","0.06409586852382423","0.032183040957151736","4","mostly_stable","positive","0.05802183187480717","E2","below_half","True","B","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","near_white_fraction","-0.059347870304508256","0.09210784279912132","-0.011552061312710277","-0.09856356568831544","-0.015315915847285339","-0.28371301650223457","4","mostly_stable","negative","0.059347870304508256","E2","below_half","True","B","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","pale_pastel_palette_score","-0.112732603320416","-0.22884187323808433","-0.13729158686271434","-0.1632108453005197","0.05370256044630333","-0.08219757495679661","4","mostly_stable","negative","0.112732603320416","E2","below_half","True","B","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","quadrant_edge_imbalance","-0.06077664433196058","0.010502120988334855","-0.01435675230400476","-0.09448478828755612","-0.05714480839551039","-0.16608245250234965","4","mostly_stable","negative","0.06077664433196058","E2","below_half","True","B","False","","False","False"
"has_any_outer_imagery_observed","Any outer-package affective imagery","ribbon_bow_box_cues_score","-0.09060680315466496","-0.08540138731080937","-0.006815313452655","-0.006922460798484566","-0.13425026133092205","-0.21993456003005166","5","directionally_stable","negative","0.09060680315466496","E2","below_half","True","A","False","","False","False"
